"FullName","Length","LastWriteTime"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-GB_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-GB.pak","500340","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-US_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-US_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-US_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-US.pak","506221","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es-419_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es-419_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es-419_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es-419.pak","612905","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\es.pak","608691","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\et_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\et_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\et_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\et.pak","558003","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fa_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fa_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fa_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fa.pak","918688","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fi_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fi_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fi_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fi.pak","566676","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fil_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fil_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fil_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fil.pak","641082","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fr_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fr_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fr_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\fr.pak","665917","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\gu_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\gu_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\gu_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\gu.pak","1289444","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\he_FEMININE.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\he_MASCULINE.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\he_NEUTER.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\he.pak","805746","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hi_FEMININE.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hi_MASCULINE.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hi_NEUTER.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hi.pak","1372229","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hr_FEMININE.pak","18","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\hr_MASCULINE.pak","18","7-9-2026 10:27:14"
